claim,accident_date,policy
CLM000000001,2016-12-12,POL000000012
CLM000000002,2016-05-06,POL000000023
CLM000000003,2016-03-10,POL000000024
CLM000000004,2015-05-08,POL000000046
CLM000000005,2016-03-11,POL000000056
CLM000000006,2015-10-19,POL000000076
CLM000000007,2016-05-19,POL000000079
CLM000000008,2016-04-05,POL000000093
CLM000000009,2016-06-25,POL000000109
CLM000000010,2016-01-02,POL000000132
CLM000000011,2015-12-16,POL000000133
CLM000000012,2015-05-16,POL000000144
CLM000000013,2016-10-18,POL000000146
CLM000000014,2016-09-28,POL000000149
CLM000000015,2016-09-07,POL000000165
CLM000000016,2015-08-12,POL000000169
CLM000000017,2016-03-14,POL000000173
CLM000000018,2016-01-11,POL000000178
CLM000000019,2016-07-20,POL000000187
CLM000000020,2016-02-14,POL000000199
CLM000000021,2015-11-15,POL000000205
CLM000000022,2016-09-07,POL000000209
CLM000000023,2017-01-05,POL000000212
CLM000000024,2016-11-02,POL000000219
CLM000000025,2016-03-14,POL000000224
CLM000000026,2016-05-02,POL000000236
CLM000000027,2016-08-04,POL000000239
CLM000000028,2016-02-01,POL000000256
CLM000000029,2016-10-06,POL000000266
CLM000000030,2016-04-07,POL000000286
CLM000000031,2016-01-01,POL000000288
CLM000000032,2015-12-02,POL000000337
CLM000000033,2016-08-24,POL000000347
CLM000000034,2016-01-25,POL000000351
CLM000000035,2015-12-20,POL000000352
CLM000000036,2015-12-13,POL000000355
CLM000000037,2016-01-07,POL000000367
CLM000000038,2016-01-28,POL000000371
CLM000000039,2016-03-24,POL000000383
CLM000000040,2015-07-20,POL000000389
CLM000000041,2016-12-31,POL000000397
CLM000000042,2015-12-08,POL000000402
CLM000000043,2016-11-16,POL000000420
CLM000000044,2016-05-11,POL000000453
CLM000000045,2016-02-25,POL000000458
CLM000000046,2015-07-26,POL000000468
CLM000000047,2016-07-20,POL000000517
CLM000000048,2015-12-07,POL000000533
CLM000000049,2016-02-29,POL000000540
CLM000000050,2015-12-18,POL000000544
CLM000000051,2016-03-25,POL000000551
CLM000000052,2016-09-01,POL000000563
CLM000000053,2016-03-22,POL000000611
CLM000000054,2015-08-31,POL000000614
CLM000000055,2016-05-22,POL000000621
CLM000000056,2016-04-06,POL000000626
CLM000000057,2015-11-17,POL000000629
CLM000000058,2015-10-04,POL000000666
CLM000000059,2016-01-04,POL000000689
CLM000000060,2016-09-13,POL000000700
CLM000000061,2016-03-08,POL000000712
CLM000000062,2015-10-31,POL000000714
CLM000000063,2016-02-20,POL000000720
CLM000000064,2016-05-28,POL000000722
CLM000000065,2015-11-19,POL000000740
CLM000000066,2016-05-14,POL000000741
CLM000000067,2016-01-15,POL000000748
CLM000000068,2017-01-22,POL000000750
CLM000000069,2016-05-02,POL000000754
CLM000000070,2015-12-11,POL000000755
CLM000000071,2015-12-29,POL000000758
CLM000000072,2015-10-15,POL000000779
CLM000000073,2015-05-30,POL000000786
CLM000000074,2017-02-13,POL000000789
CLM000000075,2016-06-02,POL000000791
CLM000000076,2016-05-25,POL000000795
CLM000000077,2016-07-09,POL000000801
CLM000000078,2015-08-03,POL000000807
CLM000000079,2016-02-23,POL000000811
CLM000000080,2015-11-18,POL000000814
CLM000000081,2016-02-22,POL000000837
CLM000000082,2016-05-29,POL000000850
CLM000000083,2016-07-08,POL000000851
CLM000000084,2016-08-31,POL000000853
CLM000000085,2016-08-16,POL000000857
CLM000000086,2016-08-11,POL000000858
CLM000000087,2016-06-04,POL000000874
CLM000000088,2016-07-20,POL000000886
CLM000000089,2015-09-04,POL000000893
CLM000000090,2016-03-15,POL000000901
CLM000000091,2015-11-01,POL000000916
CLM000000092,2015-10-10,POL000000923
CLM000000093,2016-07-25,POL000000928
CLM000000094,2015-07-02,POL000000935
CLM000000095,2015-08-13,POL000000955
CLM000000096,2016-05-03,POL000000963
CLM000000097,2015-07-25,POL000000972
CLM000000098,2016-03-15,POL000000973
CLM000000099,2016-05-18,POL000000983
CLM000000100,2016-02-17,POL000000999
CLM000000101,2016-08-20,POL000001006
CLM000000102,2016-12-14,POL000001013
CLM000000103,2016-06-14,POL000001034
CLM000000104,2016-05-29,POL000001050
CLM000000105,2015-09-26,POL000001058
CLM000000106,2016-06-30,POL000001062
CLM000000107,2016-08-23,POL000001064
CLM000000108,2016-09-06,POL000001075
CLM000000109,2016-07-06,POL000001081
CLM000000110,2016-09-25,POL000001082
CLM000000111,2016-03-13,POL000001096
CLM000000112,2016-06-21,POL000001101
CLM000000113,2016-03-26,POL000001113
CLM000000114,2016-07-04,POL000001131
CLM000000115,2016-07-20,POL000001138
CLM000000116,2015-12-02,POL000001175
