policy,age,cancel_date,make,pol_from,pol_to,state
POL000000001,84,,Mazda,2016-04-23,2017-04-22,NSW
POL000000002,53,,Mitsubishi,2017-03-21,2018-03-20,NSW
POL000000003,53,,Ford,2016-05-12,2017-05-11,NSW
POL000000004,23,,Nissan,2016-09-20,2017-09-19,NSW
POL000000005,23,,Holden,2016-05-08,2017-05-07,NSW
POL000000006,56,2017-01-30,Nissan,2017-02-11,2018-02-10,NSW
POL000000007,93,,Mitsubishi,2016-06-21,2017-06-20,NSW
POL000000008,77,,Toyota,2016-12-23,2017-12-22,NSW
POL000000009,95,,Mazda,2017-02-05,2018-02-04,NSW
POL000000010,37,,Ford,2017-02-05,2018-02-04,NSW
POL000000011,97,,Hyundai,2016-10-31,2017-10-30,NSW
POL000000012,95,,Volkswagen,2017-02-24,2018-02-23,NSW
POL000000013,37,2015-11-19,Mazda,2016-07-09,2017-07-08,NSW
POL000000014,79,,Hyundai,2016-07-22,2017-07-21,NSW
POL000000015,41,,Hyundai,2016-08-14,2017-08-13,NSW
POL000000016,53,2017-02-06,Volkswagen,2017-03-06,2018-03-05,NSW
POL000000017,94,,Volkswagen,2017-02-22,2018-02-21,NSW
POL000000018,92,,Mazda,2016-07-10,2017-07-09,NSW
POL000000019,96,,Volkswagen,2017-02-23,2018-02-22,NSW
POL000000020,91,,Hyundai,2016-11-25,2017-11-24,NSW
POL000000021,65,,Honda,2016-11-22,2017-11-21,NSW
POL000000022,68,,Volkswagen,2017-03-20,2018-03-19,NSW
POL000000023,29,,Mazda,2017-01-09,2018-01-08,NSW
POL000000024,68,,Hyundai,2016-12-18,2017-12-17,NSW
POL000000025,67,,Ford,2016-06-04,2017-06-03,NSW
POL000000026,19,,Mazda,2017-02-11,2018-02-10,NSW
POL000000027,71,,Subaru,2017-03-31,2018-03-30,NSW
POL000000028,87,,Ford,2016-10-29,2017-10-28,NSW
POL000000029,84,,Honda,2017-01-11,2018-01-10,NSW
POL000000030,80,,Holden,2016-04-16,2017-04-15,NSW
POL000000031,78,,Mitsubishi,2017-01-15,2018-01-14,NSW
POL000000032,63,,Honda,2017-02-11,2018-02-10,NSW
